usd_cleaning_fee,f_property_type,f_room_type,f_room_type2,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,usd_price_day,p_host_response_rate,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,d_24hourcheckin,d_airconditioning,d_breakfast,d_buzzerwirelessintercom,d_cabletv,d_carbonmonoxidedetector,d_cats,d_dogs,d_doorman,d_doormanentry,d_dryer,d_elevatorinbuilding,d_essentials,d_familykidfriendly,d_fireextinguisher,d_firstaidkit,d_freeparkingonpremises,d_freeparkingonstreet,d_gym,d_hairdryer,d_hangers,d_heating,d_hottub,d_indoorfireplace,d_internet,d_iron,d_keypad,d_kitchen,d_laptopfriendlyworkspace,d_lockonbedroomdoor,d_lockbox,d_otherpets,d_paidparkingoffpremises,d_petsallowed,d_petsliveonthisproperty,d_pool,d_privateentrance,d_privatelivingroom,d_safetycard,d_selfcheckin,d_shampoo,d_smartlock,d_smokedetector,d_smokingallowed,d_suitableforevents,d_tv,d_washer,d_washerdryer,d_wheelchairaccessible,d_wirelessinternet,price,neighbourhood_cleansed,cancellation_policy,room_type,property_type,ln_price,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,f_bathroom,ln_number_of_reviews,f_number_of_reviews,ln_days_since,ln_days_since2,ln_days_since3,n_days_since2,n_days_since3,ln_review_scores_rating,f_minimum_nights
20,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,95,100,5,1,100,5,5,0.25,10,5,3,600,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,95,Hackney,moderate,Entire home/apt,Apartment,4.553876891600541,25,1.6094379124341003,2.5902903939802346,1.0986122886681098,1,1.791759469228055,1,6.396929655216146,40.920709013783764,261.76689700274403,360000,216000000,4.605170185988092,3
NA,Apartment,Private room,Private,moderate,Real Bed,Hackney,25,89,2,1,93,6,1,1.67,0,1,1,107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,25,Hackney,moderate,Private room,Apartment,3.2188758248682006,4,0.6931471805599453,0.4804530139182014,0,1,1.9459101490553132,1,4.672828834461906,21.835329316178612,102.03275643861079,11449,1225043,4.532599493153256,1
NA,House,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,200,NA,6,2,NA,0,1,NA,0,5,3,NA,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,200,Hackney,moderate,Entire home/apt,House,5.298317366548036,36,1.791759469228055,3.210401995568401,1.0986122886681098,2,0,0,NA,NA,NA,NA,NA,NA,3
75,House,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,175,100,6,1,98,19,2,1.16,0,2,4,492,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,175,Hackney,strict,Entire home/apt,House,5.1647859739235145,36,1.791759469228055,3.210401995568401,1.3862943611198906,1,2.995732273553991,1,6.198478716492308,38.421138398808125,238.15260862841754,242064,119095488,4.584967478670572,2
36,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,95,100,2,1,94,24,1,1.94,0,2,1,371,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,95,Hackney,moderate,Entire home/apt,Apartment,4.553876891600541,4,0.6931471805599453,0.4804530139182014,0,1,3.2188758248682006,1,5.916202062607435,35.00144684560047,207.075632022186,137641,51064811,4.543294782270004,2
20,House,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,80,100,2,1,98,53,2,1.29,10,3,1,1230,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,80,Hackney,strict,Entire home/apt,House,4.382026634673881,4,0.6931471805599453,0.4804530139182014,0,1,3.9889840465642745,2,7.114769448366463,50.61994430340882,360.14923320790507,1512900,1860867000,4.584967478670572,3
10,Apartment,Private room,Private,flexible,Real Bed,Hackney,150,NA,2,1,NA,0,1,NA,0,5,1,NA,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,150,Hackney,flexible,Private room,Apartment,5.0106352940962555,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,3
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,30,100,2,1,100,1,1,0.23,15,1,1,128,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,30,Hackney,flexible,Private room,Apartment,3.4011973816621555,4,0.6931471805599453,0.4804530139182014,0,1,0.6931471805599453,1,4.852030263919617,23.542197681991865,114.22745563220279,16384,2097152,4.605170185988092,1
12,Apartment,Private room,Private,moderate,Real Bed,Hackney,29,NA,2,1,100,7,1,0.65,0,2,1,319,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,29,Hackney,moderate,Private room,Apartment,3.367295829986474,4,0.6931471805599453,0.4804530139182014,0,1,2.0794415416798357,1,5.765191102784844,33.23742845162953,191.62012678878241,101761,32461759,4.605170185988092,2
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,40,100,2,1,NA,0,1,NA,0,2,1,NA,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,40,Hackney,flexible,Private room,Apartment,3.6888794541139363,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,2
NA,Apartment,Private room,Private,strict,Real Bed,Hackney,38,NA,2,1,92,10,1,0.88,0,1,1,339,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,38,Hackney,strict,Private room,Apartment,3.6375861597263857,4,0.6931471805599453,0.4804530139182014,0,1,2.3978952727983707,1,5.82600010738045,33.94227725119701,197.7477109102108,114921,38958219,4.5217885770490405,1
NA,House,Private room,Private,flexible,Real Bed,Hackney,30,NA,2,3,100,1,1,0.18,5,2,1,169,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,30,Hackney,flexible,Private room,House,3.4011973816621555,4,0.6931471805599453,0.4804530139182014,0,2,0.6931471805599453,1,5.1298987149230735,26.315860825369402,134.99770063015694,28561,4826809,4.605170185988092,2
NA,Apartment,Private room,Private,moderate,Real Bed,Hackney,110,NA,2,1.5,NA,0,1,NA,0,2,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,110,Hackney,moderate,Private room,Apartment,4.700480365792417,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,2
35,House,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,190,67,4,1,96,11,4,0.26,15,2,2,1251,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,190,Hackney,flexible,Entire home/apt,House,5.247024072160486,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,1,2.4849066497880004,1,7.1316985104669115,50.86112364419596,362.72619973398577,1565001,1957816251,4.564348191467836,2
NA,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,71,86,6,1,NA,0,1,NA,0,4,2,NA,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,71,Hackney,strict,Entire home/apt,Apartment,4.2626798770413155,36,1.791759469228055,3.210401995568401,0.6931471805599453,1,0,0,NA,NA,NA,NA,NA,NA,3
NA,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,115,100,5,1,95,4,4,0.18,20,3,2,656,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,115,Hackney,strict,Entire home/apt,Apartment,4.74493212836325,25,1.6094379124341003,2.5902903939802346,0.6931471805599453,1,1.6094379124341003,1,6.486160788944089,42.0702817800358,272.87461206149715,430336,282300416,4.553876891600541,3
NA,House,Private room,Private,flexible,Real Bed,Hackney,35,20,2,1,100,1,1,0.52,0,1,1,57,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,35,Hackney,flexible,Private room,House,3.5553480614894135,4,0.6931471805599453,0.4804530139182014,0,1,0.6931471805599453,1,4.04305126783455,16.346263554338563,66.08878158772623,3249,185193,4.605170185988092,1
NA,Apartment,Private room,Private,flexible,Couch,Hackney,45,NA,2,1,NA,0,1,NA,10,1,1,NA,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,45,Hackney,flexible,Private room,Apartment,3.8066624897703196,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,1
48,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,79,NA,2,1,92,10,1,0.85,0,3,1,353,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,79,Hackney,strict,Entire home/apt,Apartment,4.3694478524670215,4,0.6931471805599453,0.4804530139182014,0,1,2.3978952727983707,1,5.8664680569332965,34.41544746301873,201.89712320686542,124609,43986977,4.5217885770490405,3
20,House,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,85,100,2,1,NA,0,1,NA,0,2,1,NA,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,85,Hackney,flexible,Entire home/apt,House,4.442651256490317,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,2
NA,House,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,100,NA,2,1.5,100,1,1,0.04,0,1,1,742,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,100,Hackney,flexible,Entire home/apt,House,4.605170185988092,4,0.6931471805599453,0.4804530139182014,0,1,0.6931471805599453,1,6.60934924316738,43.68349741815722,288.71949059960167,550564,408518488,4.605170185988092,1
150,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,121,96,6,1.5,NA,0,1,NA,7,1,4,NA,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,121,Hackney,strict,Entire home/apt,Apartment,4.795790545596741,36,1.791759469228055,3.210401995568401,1.3862943611198906,1,0,0,NA,NA,NA,NA,NA,NA,1
20,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,69,100,4,1,95,73,1,1.61,0,3,2,1357,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,69,Hackney,moderate,Entire home/apt,Apartment,4.23410650459726,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,1,4.30406509320417,2,7.213031659834869,52.02782572578017,375.27835415242345,1841449,2498846293,4.553876891600541,3
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,30,NA,1,1,NA,0,1,NA,0,1,2,NA,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,30,Hackney,flexible,Private room,Apartment,3.4011973816621555,1,0,0,0.6931471805599453,1,0,0,NA,NA,NA,NA,NA,NA,1
NA,House,Private room,Private,flexible,Real Bed,Hackney,60,100,3,1,100,1,1,0.48,0,4,NA,61,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,60,Hackney,flexible,Private room,House,4.0943445622221,9,1.0986122886681098,1.206948960812582,NA,1,0.6931471805599453,1,4.110873864173311,16.899283927143212,69.47082461933715,3721,226981,4.605170185988092,3
10,Apartment,Private room,Private,strict,Real Bed,Hackney,29,100,1,1,93,125,1,4.15,0,2,1,902,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,29,Hackney,strict,Private room,Apartment,3.367295829986474,1,0,0,0,1,4.836281906951478,2,6.804614520062624,46.302778766647094,315.07256071477417,813604,733870808,4.532599493153256,2
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,73,NA,2,1,NA,0,1,NA,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,73,Hackney,flexible,Private room,Apartment,4.290459441148391,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,1
20,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,55,100,2,1,93,3,2,0.87,0,5,1,103,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,55,Hackney,strict,Entire home/apt,Apartment,4.007333185232471,4,0.6931471805599453,0.4804530139182014,0,1,1.3862943611198906,1,4.634728988229636,21.480712794336103,99.55728227574477,10609,1092727,4.532599493153256,3
12,House,Private room,Private,strict,Real Bed,Hackney,66,100,2,0.5,NA,0,1,NA,8,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,66,Hackney,strict,Private room,House,4.189654742026425,4,0.6931471805599453,0.4804530139182014,0,0,0,0,NA,NA,NA,NA,NA,NA,1
15,Apartment,Private room,Private,strict,Real Bed,Hackney,33,100,2,1.5,84,12,1,2.02,0,2,1,176,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,33,Hackney,strict,Private room,Apartment,3.4965075614664802,4,0.6931471805599453,0.4804530139182014,0,1,2.5649493574615367,1,5.170483995038151,26.733904742945683,138.22722659827517,30976,5451776,4.430816798843313,2
NA,House,Private room,Private,strict,Real Bed,Hackney,39,100,2,1.5,70,4,1,0.43,0,2,1,280,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,39,Hackney,strict,Private room,House,3.6635616461296463,4,0.6931471805599453,0.4804530139182014,0,1,1.6094379124341003,1,5.634789603169249,31.750853871984265,178.90938128960303,78400,21952000,4.248495242049359,2
20,House,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,100,100,6,1,NA,0,4,NA,20,2,4,NA,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,100,Hackney,flexible,Entire home/apt,House,4.605170185988092,36,1.791759469228055,3.210401995568401,1.3862943611198906,1,0,0,NA,NA,NA,NA,NA,NA,2
36,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,132,100,7,1.5,NA,0,1,NA,0,3,2,NA,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,132,Hackney,strict,Entire home/apt,Apartment,4.882801922586371,49,1.9459101490553132,3.7865663081964716,0.6931471805599453,1,0,0,NA,NA,NA,NA,NA,NA,3
28,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,66,100,2,1,NA,0,1,NA,0,2,1,NA,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,66,Hackney,strict,Entire home/apt,Apartment,4.189654742026425,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,2
40,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,95,100,4,1,90,15,1,1.07,7,2,2,420,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,95,Hackney,strict,Entire home/apt,Apartment,4.553876891600541,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,1,2.772588722239781,1,6.040254711277414,36.484676977109,220.3767420004172,176400,74088000,4.499809670330265,2
15,Apartment,Private room,Private,strict,Real Bed,Hackney,39,100,2,2,50,2,2,0.23,10,1,1,257,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,39,Hackney,strict,Private room,Apartment,3.6635616461296463,4,0.6931471805599453,0.4804530139182014,0,2,1.0986122886681098,1,5.54907608489522,30.792245395956062,170.86851252692475,66049,16974593,3.912023005428146,1
15,Apartment,Private room,Private,strict,Real Bed,Hackney,33,99,2,1,71,11,1,3.33,0,2,1,98,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,33,Hackney,strict,Private room,Apartment,3.4965075614664802,4,0.6931471805599453,0.4804530139182014,0,1,2.4849066497880004,1,4.584967478670572,21.021926780466785,96.38485062743418,9604,941192,4.2626798770413155,2
35,Apartment,Private room,Private,strict,Real Bed,Hackney,80,100,2,0.5,93,36,1,0.55,30,1,1,1956,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,80,Hackney,strict,Private room,Apartment,4.382026634673881,4,0.6931471805599453,0.4804530139182014,0,0,3.6109179126442243,1,7.578656850594762,57.43603965906692,435.28803543322,3825936,7483530816,4.532599493153256,1
